,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,cb_person_default_on_file,cb_person_cred_hist_length
0,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,True,False,3
1,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,True,False,2
2,21,9900,OWN,2.0,VENTURE,A,2500,7.14,True,False,2
3,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,True,False,4
4,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,True,False,2
5,23,95000,RENT,2.0,VENTURE,A,35000,7.9,True,False,2
6,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,True,False,4
7,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,False,False,4
8,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,False,False,4
9,25,162500,RENT,2.0,VENTURE,A,35000,7.49,False,False,4
10,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,False,False,3
11,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,True,True,4
12,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,False,False,3
13,25,120000,RENT,2.0,VENTURE,A,32000,6.62,False,False,2
14,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,True,True,3
15,25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,False,False,3
16,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,True,False,2
17,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,True,True,4
18,23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,11.12,True,False,4
19,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,True,False,2
20,24,12000,OWN,4.0,VENTURE,B,2500,12.69,True,False,3
21,23,300000,OWN,1.0,EDUCATION,F,24250,19.41,False,True,2
22,26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,False,False,3
23,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,True,False,3
24,24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,11.12,True,True,4
25,26,280000,RENT,4.0,PERSONAL,C,10000,15.96,False,True,3
26,26,277104,RENT,0.0,VENTURE,B,20000,11.48,False,False,3
27,23,277000,OWN,3.0,PERSONAL,A,35000,11.12,False,False,4
28,24,12000,OWN,2.0,VENTURE,E,1750,11.12,False,True,3
29,21,131000,RENT,0.0,VENTURE,A,30000,5.99,False,False,4
30,26,263000,MORTGAGE,0.0,EDUCATION,B,10000,11.12,True,False,4
31,25,250000,RENT,2.0,MEDICAL,C,25000,13.49,False,False,4
32,25,12000,OWN,0.0,MEDICAL,C,3000,11.12,True,False,3
33,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,True,False,2
34,26,85000,RENT,2.0,VENTURE,A,28000,7.49,True,False,3
35,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,True,False,3
36,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,True,True,4
37,24,83004,RENT,0.0,VENTURE,D,28000,15.99,True,True,4
38,24,250000,RENT,2.0,EDUCATION,C,18000,12.98,False,True,3
39,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,False,False,3
40,26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,11.12,True,False,4
41,24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,11.12,True,False,2
42,26,73200,RENT,5.0,VENTURE,D,27050,15.62,True,True,2
43,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,True,True,2
44,24,73399,RENT,0.0,VENTURE,D,27000,11.12,True,False,3
45,23,120000,RENT,1.0,EDUCATION,B,25600,12.69,False,False,3
46,24,12360,OWN,2.0,MEDICAL,C,1600,13.57,False,False,3
47,22,60000,RENT,0.0,VENTURE,B,25475,10.99,True,False,3
48,25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,False,True,4
49,25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,True,True,3
